"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku","capacity","variants"
"4010","Dyna Touch Tip","Metal Pen","Metal Pens","Advanced touch tip stylus pen for precision. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4011","Laser Pointer Pen","Metal Pen","Metal Pens","Multi-function pen with built-in laser pointer. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4012","2-in-1 Pen + Light","Metal Pen","Metal Pens","2-in-1 pen with integrated LED light. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4013","Dyna Engrave Classic","Metal Pen","Metal Pens","Classic engraving pen for personalized gifts. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4014","Signature Pen Series","Metal Pen","Metal Pens","Signature series engraving pens for executives. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4015","2-Compartment Steel","Household","Household Products","2-compartment stainless steel lunch box. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4016","Insulated Plastic Box","Household","Household Products","Insulated plastic lunch box for temperature control. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4017","Bento Style Box","Household","Household Products","Japanese-style bento lunch box with compartments. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4018","Sports Bottle 1L","Household","Household Products","1L sports water bottle for active lifestyle. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4019","Kids' Sipper 500ml","Household","Household Products","500ml kids' sipper bottle with spill-proof design. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4020","Steel Fridge Bottle","Household","Fridge Bottles","Stainless steel fridge bottle for cold storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4021","Airtight Box Set","Household","Household Products","Airtight storage container set for food preservation. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4022","Modular Containers","Household","Household Products","Modular storage containers for organized storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4023","Steel Jug 1.5L","Kitchenware","Household Products","1.5L stainless steel jug for kitchen use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4024","Steel Plate Set","Household","Household Products","Stainless steel plate set for dining. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4025","Multipurpose Tray","Household","Household Products","Multipurpose plastic tray for various uses. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4026","Plastic Basket","Household","Baskets & Racks","Plastic storage basket for household organization. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4027","Soap Case","Household","Household Products","Plastic soap case for bathroom organization. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4028","Insulated Jug","Kitchenware","Household Products","Insulated jug for hot/cold beverages. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4029","Thermo Flask","Household","Household Products","Thermal flask for temperature retention. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4030","Casserole Set","Household","Household Products","Insulated casserole set for food serving. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4031","3-Piece Non-Stick Set","Kitchenware","Kitchen World","3-piece non-stick cookware set for modern cooking. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4032","Induction Base Combo","Kitchenware","Kitchen World","Induction base cookware combo set. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4033","Spark Lighter","Kitchenware","Kitchen World","Spark gas lighter for kitchen use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4034","Jumbo Grip Lighter","Kitchenware","Kitchen World","Jumbo grip gas lighter for easy handling. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4035","Chef Knife","Kitchenware","Kitchen World","Professional chef knife for culinary use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4036","Multi-Purpose Knife","Kitchenware","Kitchen World","Multi-purpose kitchen knife for various tasks. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4037","Non-Stick Tawa","Kitchenware","Kitchen World","Non-stick tawa for traditional cooking. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4038","Aluminium Kadai","Kitchenware","Kitchen World","Aluminium kadai for deep frying and cooking. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4039","3L Aluminium Cooker","Kitchenware","Kitchen World","3L aluminium pressure cooker for family use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4040","5L Hard Anodised","Kitchenware","Kitchen World","5L hard anodised pressure cooker for heavy use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.317Z,2025-07-27T07:05:49.317Z,"Shivaya",,,,,,,,,,,
"4041","Veg Chopper","Kitchenware","Kitchen World","Vegetable chopper for quick food preparation. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4042","Smart Peeler","Kitchenware","Kitchen World","Smart peeler for efficient vegetable peeling. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4043","310x210x125 mm","Plasticware","Plastic Crates","310x210x125mm plastic crate for standard storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4044","320x230x150 mm","Plasticware","Plastic Crates","320x230x150mm plastic crate for medium storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4045","410x310x130 mm","Plasticware","Plastic Crates","410x310x130mm plastic crate for industrial use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4046","425x325x150 mm","Plasticware","Plastic Crates","425x325x150mm plastic crate for heavy storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4047","520x330x140 mm","Plasticware","Plastic Crates","520x330x140mm plastic crate for large storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4048","530x335x160 mm","Plasticware","Plastic Crates","530x335x160mm plastic crate for bulk storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4049","610x410x170 mm","Plasticware","Plastic Crates","610x410x170mm plastic crate for extra large storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4050","620x420x200 mm","Plasticware","Plastic Crates","620x420x200mm plastic crate for maximum storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4051","Mesh Vegetable Crate","Plasticware","Plastic Crates","Mesh perforated crate for vegetable storage. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4052","Vented Dairy Crate","Plasticware","Plastic Crates","Vented perforated crate for dairy products. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4053","Tool Storage Crate","Plasticware","Plastic Crates","Custom tool storage crate with partitions. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4054","Electronics Divider Crate","Plasticware","Plastic Crates","Custom electronics divider crate for organization. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4055","Mango Crate","Plasticware","Plastic Crates","Specialized crate for mango storage and transport. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4056","Tomato Crate","Plasticware","Plastic Crates","Specialized crate for tomato storage and transport. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4057","Swing Lid 10L","Plasticware","Dustbins & Waste Management","10L swing lid dustbin for home use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4058","Dum Type 20L","Plasticware","Dustbins & Waste Management","20L dum type dustbin for office use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4059","Swing Type 40L","Plasticware","Dustbins & Waste Management","40L swing type dustbin for commercial use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4060","Pedal Bin 35L","Plasticware","Dustbins & Waste Management","35L pedal bin for hands-free operation. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4061","HDPE Bin 100L","Plasticware","Dustbins & Waste Management","100L HDPE dustbin for industrial use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4062","Lid Drum 200L","Plasticware","Dustbins & Waste Management","200L lid drum for bulk waste collection. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4063","Green Garbage Bin 240L","Plasticware","Dustbins & Waste Management","240L green garbage bin for municipal use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4064","Municipal Use Bin 660L","Plasticware","Dustbins & Waste Management","660L municipal use bin for public areas. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4065","Stand Type Twin Bin","Plasticware","Dustbins & Waste Management","Stand type twin bin for waste segregation. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4066","Dome Lid Plastic Stand","Plasticware","Dustbins & Waste Management","Dome lid plastic stand dustbin for modern use. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4067","SS Swing Bin 30L","Plasticware","Dustbins & Waste Management","30L stainless steel swing bin for premium facilities. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4068","Open Top Bin 50L","Metal Pen","Dustbins & Waste Management","50L open top steel bin for easy access. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4069","Glycerin Bath Soap 20g","Household","Hotel Amenities","20g glycerin bath soap for hotel guests. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4070","Floral Soap 30g","Household","Hotel Amenities","30g floral soap for premium hotel amenities. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4071","Shampoo 20ml","Household","Hotel Amenities","20ml shampoo bottle for hotel toiletries. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4072","Conditioner 20ml","Household","Hotel Amenities","20ml conditioner bottle for hotel toiletries. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4073","Lotion 20ml","Household","Hotel Amenities","20ml lotion bottle for hotel toiletries. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4074","Toothbrush + Paste Combo","Household","Hotel Amenities","Toothbrush and paste combo for hotel guests. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4075","Transparent Box Dental Kit","Household","Hotel Amenities","Transparent box dental kit for premium hotels. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4076","Non-Woven Slippers","Household","Hotel Amenities","Non-woven slippers for hotel guest comfort. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4077","Terry Slippers","Household","Hotel Amenities","Terry cloth slippers for premium hotel amenities. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4078","Razor + Cream Sachet","Household","Hotel Amenities","Razor and cream sachet for hotel shaving kits. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4079","Black Sponge Shine","Household","Hotel Amenities","Black sponge shoe shine for hotel services. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4080","Cream Shine","Household","Hotel Amenities","Cream shoe shine for premium hotel services. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4081","Printed Disposable Cover","Household","Hotel Amenities","Printed disposable glass cover for hotel amenities. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4082","Lemon Scent Screen","Household","Hotel Amenities","Lemon scented urinal screen for hotel hygiene. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4083","Comb + Sewing + Vanity","Household","Hotel Amenities","Comb, sewing kit, and vanity items for hotel guests. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4084","String Closure Cotton Bag","Household","Hotel Amenities","String closure cotton laundry bag for hotel services. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
"4085","Paper Seat Band with Print","Household","Hotel Amenities","Printed paper seat band for hotel hygiene. Brand: Shivaya Solutions.",,,"true",2025-07-27T07:05:49.318Z,2025-07-27T07:05:49.318Z,"Shivaya",,,,,,,,,,,
